Date,Symbol,Open,High,Low,Close,Volume_BTC,Volume_USD
2016-02-17,BTCUSD,406.72,420.25,406.72,415.9,1425.81,596048.72
2019-04-15,BTCUSD,5161.51,5190.0,4950.0,5036.86,2159.21,10985361.14
2017-12-24,BTCUSD,15002.72,15500.0,12600.0,14100.01,10661.62,145491337.0
2018-02-05,BTCUSD,8162.94,8334.0,6500.0,6892.67,22800.02,166315391.2
2018-02-25,BTCUSD,9697.21,9870.0,9290.0,9595.0,3491.7,33472164.84
2018-12-22,BTCUSD,3839.06,4005.0,3790.27,3979.35,2932.5,11322281.55
2018-06-22,BTCUSD,6717.88,6730.0,5940.05,6076.88,5771.55,36253129.69
2017-11-30,BTCUSD,9827.29,10900.0,8975.0,9934.4,23193.03,227879938.7
2019-06-28,BTCUSD,11143.74,12436.0,10738.17,12388.24,3871.68,45240001.55
2018-08-16,BTCUSD,6269.74,6475.0,6210.04,6313.83,2781.29,17717210.19
2019-05-14,BTCUSD,7822.67,8342.0,7625.0,7995.48,5334.13,42471157.08
2016-11-30,BTCUSD,732.36,745.5,732.36,742.11,2238.84,1657189.75
2018-04-03,BTCUSD,7049.99,7500.0,7016.87,7418.53,7164.62,52515668.76
2018-04-27,BTCUSD,9281.95,9368.0,8901.27,8926.0,3278.8,30172815.57
2018-03-17,BTCUSD,8265.81,8350.0,7737.49,7870.99,4357.88,35033565.68
2015-10-28,BTCUSD,298.2,309.0,298.2,307.05,1219.05,369278.2
2018-02-23,BTCUSD,9829.96,10400.0,9595.0,10161.62,6470.6,64650739.27
2018-05-06,BTCUSD,9812.81,9890.0,9399.0,9599.88,1610.58,15460759.71
2018-12-15,BTCUSD,3195.43,3241.0,3126.88,3184.06,3230.04,10250540.92
2018-09-01,BTCUSD,7017.1,7250.0,7015.67,7196.18,1103.66,7876737.74
2018-03-12,BTCUSD,9530.94,9898.0,8760.0,9105.0,7429.99,69137084.58
2019-08-05,BTCUSD,10975.0,11950.0,10975.0,11815.28,2362.19,27509110.08
2018-08-21,BTCUSD,6258.36,6493.0,6250.0,6476.53,2000.23,12790616.86
2017-05-24,BTCUSD,2261.22,2479.0,2261.22,2436.45,10964.29,26072742.0
2017-11-01,BTCUSD,6448.36,6750.0,6365.0,6741.02,8002.13,52360522.53
2019-05-16,BTCUSD,8198.47,8380.0,7665.47,7881.38,3821.51,30539555.78
2017-11-29,BTCUSD,9941.7,11454.0,9500.0,9827.29,17642.01,184437015.9
2015-10-30,BTCUSD,314.89,374.0,314.89,330.36,2078.47,681306.37
2019-01-19,BTCUSD,3608.0,3760.0,3608.0,3687.0,2227.89,8268829.89
2017-10-07,BTCUSD,4362.42,4448.0,4320.01,4425.01,1828.99,8000413.89
2016-12-15,BTCUSD,774.84,780.25,774.55,775.18,3988.66,3100862.14
2019-08-20,BTCUSD,10919.99,10950.0,10560.15,10747.06,894.4,9615670.85
2017-11-12,BTCUSD,6340.0,6500.0,5450.0,5849.37,23486.83,141026382.8
2018-05-19,BTCUSD,8230.0,8392.0,8152.49,8240.01,1379.6,11388658.27
2017-04-27,BTCUSD,1294.91,1370.0,1293.07,1346.04,11591.4,15592322.34
2019-02-07,BTCUSD,3366.83,3380.0,3352.29,3359.99,1274.83,4288604.06
2018-12-20,BTCUSD,3683.97,4200.0,3663.29,4077.29,11541.31,45775523.25
2018-05-05,BTCUSD,9691.37,9940.0,9668.67,9812.81,2078.34,20438119.85
2018-01-13,BTCUSD,13815.26,14550.0,13803.8,14174.38,4901.76,69653074.46
2017-12-01,BTCUSD,9934.4,10970.0,9360.01,10910.18,12477.5,128347093.8
2019-04-16,BTCUSD,5036.86,5230.0,5022.84,5203.65,2112.45,10803162.22
2016-06-04,BTCUSD,570.02,590.0,562.48,573.51,685.37,393390.84
2016-11-18,BTCUSD,736.03,750.0,735.61,748.13,1207.81,898999.2
2016-11-17,BTCUSD,739.99,750.0,733.5,736.03,2782.66,2058291.58
2017-05-11,BTCUSD,1793.26,1884.0,1775.0,1834.1,17803.68,32420035.36
2018-11-08,BTCUSD,6501.5,6512.0,6393.84,6405.88,3154.78,20332988.05
2018-10-15,BTCUSD,6181.54,6769.0,6152.0,6437.66,9758.49,62768419.83
2018-05-08,BTCUSD,9361.96,9450.0,9050.0,9181.42,2510.28,23130695.25
2018-02-13,BTCUSD,8900.0,8940.0,8379.0,8519.07,4953.3,42654131.94
2018-03-04,BTCUSD,11433.72,11500.0,11060.01,11467.19,1874.53,21117794.79
2016-06-27,BTCUSD,631.14,655.0,621.38,650.09,1478.9,950148.12
